,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
2629,Huoleti Ltd,2629.0,0.9695,0.21445622794882055,0.21445622794882055,0,0.21445622794882055,0.0,0.0,0.8944271909999159,4.520736046105263,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2630,Solar Village,2630.0,33.5,0.7550866482496525,0.7550866482496525,0,0.7550866482496525,133000.0,5.313292845913055,0.0,44.36576925,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2633,Reflectly,2633.0,25.0,0.7583193229920427,0.7583193229920427,0,0.7583193229920427,0.0,0.0,0.0,32.96764205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2634,Elevenate AB,2634.0,90.0,1.9459506288498376,1.9459506288498376,0,1.9459506288498376,3400000.0,1.2574334296829355,0.0,46.2498887,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2635,HereWeBook,2635.0,6.0,0.18199663751809025,0.18199663751809025,0,0.18199663751809025,0.0,0.0,1.0,32.96764205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2637,Glucoset,2637.0,3.0,3.4200124772890854,3.4200124772890854,1,3.4200124772890854,63000.0,0.5623413251903491,0.0,0.8771897821782179,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2651,Billecta,2651.0,4.5,4.680594718272691,0.180594718272691,0,4.680594718272691,844200.0,1.6955228906978357,1.5275252316519468,0.9614162880696201,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2652,Gastrofy,2652.0,25.0,1.9505418413471771,1.4100000000000001,0,1.9505418413471771,562750.0,1.4100867303686322,0.0,12.816951408093505,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2653,PayForm,2653.0,0.5,0.1,0.1,0,0.1,0.0,0.0,0.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2656,Blocksettle,2656.0,6.5,1.4673320859656143,1.4673320859656143,0,1.4673320859656143,0.0,0.0,0.0,4.4298084,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2657,Peppy Pals,2657.0,10.0,0.43243347307774166,0.43243347307774166,0,0.43243347307774166,120000.0,0.5848035476425733,0.0,23.124944350000003,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2658,Lucidtech,2658.0,25.0,0.5634974986937705,0.5634974986937705,0,0.5634974986937705,0.0,0.0,0.0,44.36576925,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
2660,Savelend,2660.0,50.0,2.586316490635353,2.586316490635353,1,2.586316490635353,2500000.0,1.1447142425533319,1.2747548783981961,19.332514091389115,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2661,Amie,2661.0,1.25,0.4258319322992043,0.4258319322992043,0,0.4258319322992043,0.0,0.0,0.0,2.935430401498652,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2662,TripCreator,2662.0,15.0,11.80426492035186,11.80426492035186,1,11.80426492035186,800000.0,1.5874010519681994,0.0,1.270727156770121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2663,ContinYou,2663.0,55.0,1.2396944971262953,1.2396944971262953,0,1.2396944971262953,54000.0,1.3512001548070345,0.0,44.36576924999999,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2672,Capeesh,2672.0,2.0,0.4,0.4,0,0.4,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2674,SKIDOS,2674.0,2.1,1.1198045333066775,1.1198045333066775,0,1.1198045333066775,0.0,0.0,1.5036945962049748,1.8753272893072663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2675,Artland,2675.0,5.0,1.9300000000000002,1.9300000000000002,0,1.0,0.0,0.0,1.1447142425533319,5.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2676,Qasa,2676.0,1.6,0.8126762322271095,0.361189436545382,0,0.8126762322271095,663800.0,1.4772199911861212,1.1726039399558574,1.9688037333333333,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2678,Vevios,2678.0,6.5,0.14054087875026605,0.14054087875026605,0,0.14054087875026605,26000.0,0.0,0.0,46.2498887,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2679,Aponomy,2679.0,5.0,0.17837880764456843,0.17837880764456843,0,0.17837880764456843,113333.33333333333,2.23606797749979,0.0,28.03023557575758,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2682,GoldenVagance,2682.0,5.0,1.0,1.0,0,1.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2683,Doorhub,2683.0,2.3,0.46,0.46,0,0.46,0.0,0.0,0.0,4.999999999999999,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2691,Steerpath Ltd.,2691.0,2.0,0.4514867956817275,0.4514867956817275,0,0.4514867956817275,520000.0,2.320794416806389,0.0,4.4298084,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2699,Bolt.Works Oy,2699.0,6.0,1.3544603870451823,1.3544603870451823,0,1.3544603870451823,17140001.2,49.731173056141955,1.3777757025384456,4.4298084,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2700,Heltti Oy,2700.0,10.0,2.821792473010797,0.5643584946021594,0,2.821792473010797,3692000.0,1.5286151540232698,1.1495854256695786,3.5438467199999995,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
